id,phase,stage,showToClient,dependencies,taskTitle,isSubtask,parentTaskId,completed,subtaskStatus,Owner,startDate,dueDate,dateCompleted
1,Phase 0,Contract Signature,TRUE,,Contract signed,FALSE,,TRUE,,,,,01/06/2025
2,Phase 1,Project Kick Off & Stakeholder Alignment,TRUE,1,"Client Profile Complete IN-FULL - Must include the following: Key POC's, LIS Contact, EMR Contact, CLIA Classification +/ Upgrade Needs (Lab Staff?)",FALSE,,TRUE,,,,02/05/2025,10/31/2025
3,Phase 1,Project Kick Off & Stakeholder Alignment,TRUE,1,"Pre-Installation Complete IN-FULL - Must include all requested space specifications, including power and water supply details",FALSE,,TRUE,,,02/05/2025,10/31/2025,10/31/2025
4,Phase 1,Project Kick Off & Stakeholder Alignment,FALSE,2,Sales Upload to Hubspot via Pipeline,TRUE,4,TRUE,,,02/05/2025,10/31/2025,10/31/2025
5,Phase 1,Project Kick Off & Stakeholder Alignment,FALSE,2,Defined internal launch team roles,FALSE,,TRUE,,,,11/1/2025,11/1/2025
6,Phase 1,Launch Data & Systems Prep,TRUE,1,Welcome Call,FALSE,,TRUE,,,,10/7/25,
7,Phase 1,Launch Data & Systems Prep,TRUE,1,Schedule Welcome Call,TRUE,6,TRUE,TRUE,,,10/7/25,
8,Phase 1,Launch Data & Systems Prep,TRUE,1,Host Welcome Call,TRUE,6,TRUE,TRUE,,,10/7/25,
9,Phase 1,Launch Data & Systems Prep,TRUE,"2, 3",Hubspot Setup & Client Specific Customizations,FALSE,,TRUE,,,,,
10,Phase 1,Launch Data & Systems Prep,FALSE,"2, 3",Pre Install Checklist / Client Profile Verified Accurate by Ops Uploaded to Hubspot and Ops Notified,FALSE,,TRUE,,,,,
11,Phase 1,Launch Data & Systems Prep,FALSE,3,Thrive Confirmed Specific Ancillary Supplies Client Needed by Client (3-4 week lead time),FALSE,,TRUE,,,,11/4/25,11/4/25
12,Phase 1,Launch Data & Systems Prep,FALSE,1,Launch Related Contract Details Verified: Projected QUA Per Month based on Lab/Testing Report,FALSE,,TRUE,,,,11/4/25,11/4/25
13,Phase 1,Launch Data & Systems Prep,TRUE,1,Billing Setup,FALSE,,TRUE,,,,,
14,Phase 1,Launch Data & Systems Prep,FALSE,1,Billing/Accounting Fee Schedule + CPT Verifications: Client Connected to Billing Support,TRUE,13,TRUE,TRUE,,,,
15,Phase 1,Launch Data & Systems Prep,TRUE,1,CLIA Upgrade - Paperwork Submitted,FALSE,,,,,,,
16,Phase 1,Launch Data & Systems Prep,FALSE,1,Submit Paperwork to (New Clia Comp) for Upgrade,TRUE,15,,,,,,
17,Phase 1,Launch Data & Systems Prep,FALSE,1,Hiring Lab Director + Obtain CVs,TRUE,15,,,,,,
18,Phase 1,Launch Data & Systems Prep,FALSE,1,Hiring Lab Tech (MLT) + Obtain CVs,TRUE,15,,,,,,
19,Phase 1,Launch Data & Systems Prep,FALSE,1,Invoicing: Lab Director,TRUE,15,,,,,,
20,Phase 1,Launch Data & Systems Prep,TRUE,1,Tech Infrastructure Pre-Liminary Setup (Analyzer > LIS > EMR),FALSE,,TRUE,,,,11/18/2025,
21,Phase 1,Launch Data & Systems Prep,FALSE,1,Non Thrive LIS: Begin LIS Integration Connect with EMR Contact for Integration Needs,TRUE,20,,,,,,
22,Phase 1,Launch Data & Systems Prep,FALSE,1,Non Thrive LIS: Begin LIS Integration Connect with LIS Contact for Integration Needs,TRUE,20,,,,,,
23,Phase 1,Launch Data & Systems Prep,FALSE,1,ThriveLinx/ToxiLab: Connect with John,TRUE,20,TRUE,,,,11/18/2025,
24,Phase 1,Launch Data & Systems Prep,FALSE,1,"ThriveLinx/ToxiLab: Review LIS SOP & Complete POL needed to prepare for integration during go live week. (Thrive Linx) Need to provide: high res logo, sample requisition form, sample test result form (Toxilab) Contract Documents",TRUE,20,TRUE,,,,11/18/2025,
25,Phase 1,Launch Data & Systems Prep,TRUE,1,Inventory Forecasting & Mgmt,FALSE,,TRUE,,,,11/18/2025,
